fecha,codigo_entidad,codigo_patrimonio,valor_unidad,es_outlier,año,mes,trimestre,tipo_fondo
2016-01-01,3,5000,36085.18,False,2016,1,1,Pensiones
2016-01-02,3,5000,36093.0,False,2016,1,1,Pensiones
2016-01-03,3,5000,36100.84,False,2016,1,1,Pensiones
2016-01-04,3,5000,35949.16,False,2016,1,1,Pensiones
2016-01-05,3,5000,35954.54,False,2016,1,1,Pensiones
2016-01-06,3,5000,35892.0,False,2016,1,1,Pensiones
2016-01-07,3,5000,35735.06,False,2016,1,1,Pensiones
2016-01-08,3,5000,35667.2,False,2016,1,1,Pensiones
2016-01-09,3,5000,35675.24,False,2016,1,1,Pensiones
2016-01-10,3,5000,35683.53,False,2016,1,1,Pensiones
2016-01-11,3,5000,35691.28,False,2016,1,1,Pensiones
2016-01-12,3,5000,35645.77,False,2016,1,1,Pensiones
2016-01-13,3,5000,35641.42,False,2016,1,1,Pensiones
2016-01-14,3,5000,35745.58,False,2016,1,1,Pensiones
2016-01-15,3,5000,35604.78,False,2016,1,1,Pensiones
2016-01-16,3,5000,35612.84,False,2016,1,1,Pensiones
2016-01-17,3,5000,35621.28,False,2016,1,1,Pensiones
2016-01-18,3,5000,35550.26,False,2016,1,1,Pensiones
2016-01-19,3,5000,35636.24,False,2016,1,1,Pensiones
2016-01-20,3,5000,35516.78,False,2016,1,1,Pensiones
2016-01-21,3,5000,35578.45,False,2016,1,1,Pensiones
2016-01-22,3,5000,35732.19,False,2016,1,1,Pensiones
2016-01-23,3,5000,35740.24,False,2016,1,1,Pensiones
2016-01-24,3,5000,35748.32,False,2016,1,1,Pensiones
2016-01-25,3,5000,35746.64,False,2016,1,1,Pensiones
2016-01-26,3,5000,35805.92,False,2016,1,1,Pensiones
2016-01-27,3,5000,35823.57,False,2016,1,1,Pensiones
2016-01-28,3,5000,35833.51,False,2016,1,1,Pensiones
2016-01-29,3,5000,35955.79,False,2016,1,1,Pensiones
2016-01-30,3,5000,35964.04,False,2016,1,1,Pensiones
2016-01-31,3,5000,35972.27,False,2016,1,1,Pensiones
2016-02-01,3,5000,36001.01,False,2016,2,1,Pensiones
2016-02-02,3,5000,35930.27,False,2016,2,1,Pensiones
2016-02-03,3,5000,35910.31,False,2016,2,1,Pensiones
2016-02-04,3,5000,35833.0,False,2016,2,1,Pensiones
2016-02-05,3,5000,35790.82,False,2016,2,1,Pensiones
2016-02-06,3,5000,35799.07,False,2016,2,1,Pensiones
2016-02-07,3,5000,35807.56,False,2016,2,1,Pensiones
2016-02-08,3,5000,35758.83,False,2016,2,1,Pensiones
2016-02-09,3,5000,35663.35,False,2016,2,1,Pensiones
2016-02-10,3,5000,35647.3,False,2016,2,1,Pensiones
2016-02-11,3,5000,35481.58,False,2016,2,1,Pensiones
2016-02-12,3,5000,35603.65,False,2016,2,1,Pensiones
2016-02-13,3,5000,35611.84,False,2016,2,1,Pensiones
2016-02-14,3,5000,35620.22,False,2016,2,1,Pensiones
2016-02-15,3,5000,35667.61,False,2016,2,1,Pensiones
2016-02-16,3,5000,35750.62,False,2016,2,1,Pensiones
2016-02-17,3,5000,35890.43,False,2016,2,1,Pensiones
2016-02-18,3,5000,35880.93,False,2016,2,1,Pensiones
2016-02-19,3,5000,35890.09,False,2016,2,1,Pensiones
2016-02-20,3,5000,35901.24,False,2016,2,1,Pensiones
2016-02-21,3,5000,35912.31,False,2016,2,1,Pensiones
2016-02-22,3,5000,35987.28,False,2016,2,1,Pensiones
2016-02-23,3,5000,35941.9,False,2016,2,1,Pensiones
2016-02-24,3,5000,35964.31,False,2016,2,1,Pensiones
2016-02-25,3,5000,36053.96,False,2016,2,1,Pensiones
2016-02-26,3,5000,36083.19,False,2016,2,1,Pensiones
2016-02-27,3,5000,36093.69,False,2016,2,1,Pensiones
2016-02-28,3,5000,36104.67,False,2016,2,1,Pensiones
2016-02-29,3,5000,36093.24,False,2016,2,1,Pensiones
2016-03-01,3,5000,36170.36,False,2016,3,1,Pensiones
2016-03-02,3,5000,36255.83,False,2016,3,1,Pensiones
2016-03-03,3,5000,36335.72,False,2016,3,1,Pensiones
2016-03-04,3,5000,36367.74,False,2016,3,1,Pensiones
2016-03-05,3,5000,36378.56,False,2016,3,1,Pensiones
2016-03-06,3,5000,36389.42,False,2016,3,1,Pensiones
2016-03-07,3,5000,36430.14,False,2016,3,1,Pensiones
2016-03-08,3,5000,36372.24,False,2016,3,1,Pensiones
2016-03-09,3,5000,36425.27,False,2016,3,1,Pensiones
2016-03-10,3,5000,36494.55,False,2016,3,1,Pensiones
2016-03-11,3,5000,36586.63,False,2016,3,1,Pensiones
2016-03-12,3,5000,36597.22,False,2016,3,1,Pensiones
2016-03-13,3,5000,36608.05,False,2016,3,1,Pensiones
2016-03-14,3,5000,36585.52,False,2016,3,1,Pensiones
2016-03-15,3,5000,36522.94,False,2016,3,1,Pensiones
2016-03-16,3,5000,36551.45,False,2016,3,1,Pensiones
2016-03-17,3,5000,36593.69,False,2016,3,1,Pensiones
2016-03-18,3,5000,36673.14,False,2016,3,1,Pensiones
2016-03-19,3,5000,36683.53,False,2016,3,1,Pensiones
2016-03-20,3,5000,36694.12,False,2016,3,1,Pensiones
2016-03-21,3,5000,36704.5,False,2016,3,1,Pensiones
2016-03-22,3,5000,36704.3,False,2016,3,1,Pensiones
2016-03-23,3,5000,36729.39,False,2016,3,1,Pensiones
2016-03-24,3,5000,36740.04,False,2016,3,1,Pensiones
2016-03-25,3,5000,36750.53,False,2016,3,1,Pensiones
2016-03-26,3,5000,36761.02,False,2016,3,1,Pensiones
2016-03-27,3,5000,36771.49,False,2016,3,1,Pensiones
2016-03-28,3,5000,36705.68,False,2016,3,1,Pensiones
2016-03-29,3,5000,36701.09,False,2016,3,1,Pensiones
2016-03-30,3,5000,36760.95,False,2016,3,1,Pensiones
2016-03-31,3,5000,36807.57,False,2016,3,1,Pensiones
2016-04-01,3,5000,36807.65,False,2016,4,2,Pensiones
2016-04-02,3,5000,36818.05,False,2016,4,2,Pensiones
2016-04-03,3,5000,36828.42,False,2016,4,2,Pensiones
2016-04-04,3,5000,36876.04,False,2016,4,2,Pensiones
2016-04-05,3,5000,36792.48,False,2016,4,2,Pensiones
2016-04-06,3,5000,36863.63,False,2016,4,2,Pensiones
2016-04-07,3,5000,36814.56,False,2016,4,2,Pensiones
2016-04-08,3,5000,36889.85,False,2016,4,2,Pensiones
2016-04-09,3,5000,36896.91,False,2016,4,2,Pensiones
2016-04-10,3,5000,36907.59,False,2016,4,2,Pensiones
2016-04-11,3,5000,36960.08,False,2016,4,2,Pensiones
2016-04-12,3,5000,37085.73,False,2016,4,2,Pensiones
2016-04-13,3,5000,37173.0,False,2016,4,2,Pensiones
2016-04-14,3,5000,37170.21,False,2016,4,2,Pensiones
2016-04-15,3,5000,37148.91,False,2016,4,2,Pensiones
2016-04-16,3,5000,37158.46,False,2016,4,2,Pensiones
2016-04-17,3,5000,37168.5,False,2016,4,2,Pensiones
2016-04-18,3,5000,37187.98,False,2016,4,2,Pensiones
2016-04-19,3,5000,37235.01,False,2016,4,2,Pensiones
2016-04-20,3,5000,37220.3,False,2016,4,2,Pensiones
2016-04-21,3,5000,37219.38,False,2016,4,2,Pensiones
2016-04-22,3,5000,37269.74,False,2016,4,2,Pensiones
2016-04-23,3,5000,37279.42,False,2016,4,2,Pensiones
2016-04-24,3,5000,37289.61,False,2016,4,2,Pensiones
2016-04-25,3,5000,37247.98,False,2016,4,2,Pensiones
2016-04-26,3,5000,37254.24,False,2016,4,2,Pensiones
2016-04-27,3,5000,37283.43,False,2016,4,2,Pensiones
2016-04-28,3,5000,37179.63,False,2016,4,2,Pensiones
2016-04-29,3,5000,37105.83,False,2016,4,2,Pensiones
2016-04-30,3,5000,37115.48,False,2016,4,2,Pensiones
2016-05-01,3,5000,37125.21,False,2016,5,2,Pensiones
2016-05-02,3,5000,37091.91,False,2016,5,2,Pensiones
