fecha,codigo_entidad,codigo_patrimonio,valor_unidad,es_outlier,año,mes,trimestre,tipo_fondo
2016-01-01,2,1000,37972.06,False,2016,1,1,Pensiones
2016-01-02,2,1000,37977.34,False,2016,1,1,Pensiones
2016-01-03,2,1000,37982.46,False,2016,1,1,Pensiones
2016-01-04,2,1000,37702.93,False,2016,1,1,Pensiones
2016-01-05,2,1000,37751.98,False,2016,1,1,Pensiones
2016-01-06,2,1000,37648.44,False,2016,1,1,Pensiones
2016-01-07,2,1000,37352.34,False,2016,1,1,Pensiones
2016-01-08,2,1000,37141.78,False,2016,1,1,Pensiones
2016-01-09,2,1000,37147.07,False,2016,1,1,Pensiones
2016-01-10,2,1000,37152.28,False,2016,1,1,Pensiones
2016-01-11,2,1000,37157.55,False,2016,1,1,Pensiones
2016-01-12,2,1000,36977.11,False,2016,1,1,Pensiones
2016-01-13,2,1000,37003.54,False,2016,1,1,Pensiones
2016-01-14,2,1000,37186.38,False,2016,1,1,Pensiones
2016-01-15,2,1000,36927.12,False,2016,1,1,Pensiones
2016-01-16,2,1000,36931.97,False,2016,1,1,Pensiones
2016-01-17,2,1000,36937.45,False,2016,1,1,Pensiones
2016-01-18,2,1000,36729.91,False,2016,1,1,Pensiones
2016-01-19,2,1000,36924.34,False,2016,1,1,Pensiones
2016-01-20,2,1000,36781.48,False,2016,1,1,Pensiones
2016-01-21,2,1000,36925.93,False,2016,1,1,Pensiones
2016-01-22,2,1000,37229.5,False,2016,1,1,Pensiones
2016-01-23,2,1000,37233.76,False,2016,1,1,Pensiones
2016-01-24,2,1000,37240.15,False,2016,1,1,Pensiones
2016-01-25,2,1000,37295.87,False,2016,1,1,Pensiones
2016-01-26,2,1000,37434.99,False,2016,1,1,Pensiones
2016-01-27,2,1000,37461.1,False,2016,1,1,Pensiones
2016-01-28,2,1000,37446.49,False,2016,1,1,Pensiones
2016-01-29,2,1000,37639.55,False,2016,1,1,Pensiones
2016-01-30,2,1000,37644.45,False,2016,1,1,Pensiones
2016-01-31,2,1000,37649.83,False,2016,1,1,Pensiones
2016-02-01,2,1000,37809.29,False,2016,2,1,Pensiones
2016-02-02,2,1000,37708.16,False,2016,2,1,Pensiones
2016-02-03,2,1000,37722.79,False,2016,2,1,Pensiones
2016-02-04,2,1000,37518.68,False,2016,2,1,Pensiones
2016-02-05,2,1000,37460.85,False,2016,2,1,Pensiones
2016-02-06,2,1000,37463.92,False,2016,2,1,Pensiones
2016-02-07,2,1000,37468.89,False,2016,2,1,Pensiones
2016-02-08,2,1000,37397.29,False,2016,2,1,Pensiones
2016-02-09,2,1000,37263.89,False,2016,2,1,Pensiones
2016-02-10,2,1000,37203.58,False,2016,2,1,Pensiones
2016-02-11,2,1000,37011.47,False,2016,2,1,Pensiones
2016-02-12,2,1000,37147.81,False,2016,2,1,Pensiones
2016-02-13,2,1000,37154.4,False,2016,2,1,Pensiones
2016-02-14,2,1000,37157.81,False,2016,2,1,Pensiones
2016-02-15,2,1000,37308.27,False,2016,2,1,Pensiones
2016-02-16,2,1000,37391.73,False,2016,2,1,Pensiones
2016-02-17,2,1000,37680.47,False,2016,2,1,Pensiones
2016-02-18,2,1000,37636.42,False,2016,2,1,Pensiones
2016-02-19,2,1000,37661.83,False,2016,2,1,Pensiones
2016-02-20,2,1000,37667.8,False,2016,2,1,Pensiones
2016-02-21,2,1000,37675.2,False,2016,2,1,Pensiones
2016-02-22,2,1000,37739.4,False,2016,2,1,Pensiones
2016-02-23,2,1000,37652.14,False,2016,2,1,Pensiones
2016-02-24,2,1000,37633.4,False,2016,2,1,Pensiones
2016-02-25,2,1000,37773.29,False,2016,2,1,Pensiones
2016-02-26,2,1000,37821.51,False,2016,2,1,Pensiones
2016-02-27,2,1000,37828.52,False,2016,2,1,Pensiones
2016-02-28,2,1000,37834.2,False,2016,2,1,Pensiones
2016-02-29,2,1000,37837.08,False,2016,2,1,Pensiones
2016-03-01,2,1000,37999.9,False,2016,3,1,Pensiones
2016-03-02,2,1000,38118.57,False,2016,3,1,Pensiones
2016-03-03,2,1000,38321.04,False,2016,3,1,Pensiones
2016-03-04,2,1000,38284.48,False,2016,3,1,Pensiones
2016-03-05,2,1000,38291.53,False,2016,3,1,Pensiones
2016-03-06,2,1000,38298.85,False,2016,3,1,Pensiones
2016-03-07,2,1000,38338.53,False,2016,3,1,Pensiones
2016-03-08,2,1000,38252.09,False,2016,3,1,Pensiones
2016-03-09,2,1000,38371.63,False,2016,3,1,Pensiones
2016-03-10,2,1000,38573.36,False,2016,3,1,Pensiones
2016-03-11,2,1000,38665.2,False,2016,3,1,Pensiones
2016-03-12,2,1000,38672.01,False,2016,3,1,Pensiones
2016-03-13,2,1000,38679.3,False,2016,3,1,Pensiones
2016-03-14,2,1000,38657.21,False,2016,3,1,Pensiones
2016-03-15,2,1000,38490.92,False,2016,3,1,Pensiones
2016-03-16,2,1000,38539.92,False,2016,3,1,Pensiones
2016-03-17,2,1000,38534.03,False,2016,3,1,Pensiones
2016-03-18,2,1000,38665.95,False,2016,3,1,Pensiones
2016-03-19,2,1000,38672.33,False,2016,3,1,Pensiones
2016-03-20,2,1000,38677.34,False,2016,3,1,Pensiones
2016-03-21,2,1000,38685.9,False,2016,3,1,Pensiones
2016-03-22,2,1000,38674.94,False,2016,3,1,Pensiones
2016-03-23,2,1000,38712.01,False,2016,3,1,Pensiones
2016-03-24,2,1000,38718.7,False,2016,3,1,Pensiones
2016-03-25,2,1000,38726.02,False,2016,3,1,Pensiones
2016-03-26,2,1000,38732.68,False,2016,3,1,Pensiones
2016-03-27,2,1000,38739.35,False,2016,3,1,Pensiones
2016-03-28,2,1000,38568.24,False,2016,3,1,Pensiones
2016-03-29,2,1000,38601.22,False,2016,3,1,Pensiones
2016-03-30,2,1000,38711.41,False,2016,3,1,Pensiones
