fecha,codigo_entidad,codigo_patrimonio,valor_unidad,es_outlier,año,mes,trimestre,tipo_fondo
2016-01-01,9,2,28882.18,False,2016,1,1,Cesantías
2016-01-02,9,2,28886.8,False,2016,1,1,Cesantías
2016-01-03,9,2,28891.5,False,2016,1,1,Cesantías
2016-01-04,9,2,28888.81,False,2016,1,1,Cesantías
2016-01-05,9,2,28894.75,False,2016,1,1,Cesantías
2016-01-06,9,2,28903.94,False,2016,1,1,Cesantías
2016-01-07,9,2,28904.73,False,2016,1,1,Cesantías
2016-01-08,9,2,28902.17,False,2016,1,1,Cesantías
2016-01-09,9,2,28907.29,False,2016,1,1,Cesantías
2016-01-10,9,2,28912.39,False,2016,1,1,Cesantías
2016-01-11,9,2,28917.49,False,2016,1,1,Cesantías
2016-01-12,9,2,28923.69,False,2016,1,1,Cesantías
2016-01-13,9,2,28933.46,False,2016,1,1,Cesantías
2016-01-14,9,2,28937.26,False,2016,1,1,Cesantías
2016-01-15,9,2,28943.28,False,2016,1,1,Cesantías
2016-01-16,9,2,28948.58,False,2016,1,1,Cesantías
2016-01-17,9,2,28953.88,False,2016,1,1,Cesantías
2016-01-18,9,2,28962.62,False,2016,1,1,Cesantías
2016-01-19,9,2,28964.65,False,2016,1,1,Cesantías
2016-01-20,9,2,28980.08,False,2016,1,1,Cesantías
2016-01-21,9,2,28973.17,False,2016,1,1,Cesantías
2016-01-22,9,2,28978.53,False,2016,1,1,Cesantías
2016-01-23,9,2,28988.47,False,2016,1,1,Cesantías
2016-01-24,9,2,28993.76,False,2016,1,1,Cesantías
2016-01-25,9,2,28999.91,False,2016,1,1,Cesantías
2016-01-26,9,2,29008.26,False,2016,1,1,Cesantías
2016-01-27,9,2,29013.65,False,2016,1,1,Cesantías
2016-01-28,9,2,29019.26,False,2016,1,1,Cesantías
2016-01-29,9,2,29025.24,False,2016,1,1,Cesantías
2016-01-30,9,2,29031.02,False,2016,1,1,Cesantías
2016-01-31,9,2,29036.12,False,2016,1,1,Cesantías
2016-02-01,9,2,29037.07,False,2016,2,1,Cesantías
2016-02-02,9,2,29039.94,False,2016,2,1,Cesantías
2016-02-03,9,2,29042.69,False,2016,2,1,Cesantías
2016-02-04,9,2,29051.5,False,2016,2,1,Cesantías
2016-02-05,9,2,29051.36,False,2016,2,1,Cesantías
2016-02-06,9,2,29055.93,False,2016,2,1,Cesantías
2016-02-07,9,2,29060.59,False,2016,2,1,Cesantías
2016-02-08,9,2,29060.17,False,2016,2,1,Cesantías
2016-02-09,9,2,29067.42,False,2016,2,1,Cesantías
2016-02-10,9,2,29068.89,False,2016,2,1,Cesantías
2016-02-11,9,2,29071.95,False,2016,2,1,Cesantías
2016-02-12,9,2,29076.46,False,2016,2,1,Cesantías
2016-02-13,9,2,29078.28,False,2016,2,1,Cesantías
2016-02-14,9,2,29080.44,False,2016,2,1,Cesantías
2016-02-15,9,2,29088.97,False,2016,2,1,Cesantías
2016-02-16,9,2,29091.26,False,2016,2,1,Cesantías
2016-02-17,9,2,29092.37,False,2016,2,1,Cesantías
2016-02-18,9,2,29103.69,False,2016,2,1,Cesantías
2016-02-19,9,2,29106.48,False,2016,2,1,Cesantías
2016-02-20,9,2,29109.77,False,2016,2,1,Cesantías
2016-02-21,9,2,29113.01,False,2016,2,1,Cesantías
2016-02-22,9,2,29120.05,False,2016,2,1,Cesantías
2016-02-23,9,2,29126.24,False,2016,2,1,Cesantías
2016-02-24,9,2,29133.58,False,2016,2,1,Cesantías
2016-02-25,9,2,29141.53,False,2016,2,1,Cesantías
2016-02-26,9,2,29145.37,False,2016,2,1,Cesantías
2016-02-27,9,2,29149.68,False,2016,2,1,Cesantías
2016-02-28,9,2,29153.93,False,2016,2,1,Cesantías
2016-02-29,9,2,29156.69,False,2016,2,1,Cesantías
2016-03-01,9,2,29161.08,False,2016,3,1,Cesantías
2016-03-02,9,2,29164.08,False,2016,3,1,Cesantías
2016-03-03,9,2,29171.4,False,2016,3,1,Cesantías
2016-03-04,9,2,29177.67,False,2016,3,1,Cesantías
2016-03-05,9,2,29182.22,False,2016,3,1,Cesantías
2016-03-06,9,2,29186.71,False,2016,3,1,Cesantías
2016-03-07,9,2,29193.4,False,2016,3,1,Cesantías
2016-03-08,9,2,29200.6,False,2016,3,1,Cesantías
2016-03-09,9,2,29205.8,False,2016,3,1,Cesantías
2016-03-10,9,2,29212.55,False,2016,3,1,Cesantías
2016-03-11,9,2,29220.4,False,2016,3,1,Cesantías
2016-03-12,9,2,29225.11,False,2016,3,1,Cesantías
2016-03-13,9,2,29229.79,False,2016,3,1,Cesantías
2016-03-14,9,2,29234.5,False,2016,3,1,Cesantías
2016-03-15,9,2,29239.8,False,2016,3,1,Cesantías
2016-03-16,9,2,29245.44,False,2016,3,1,Cesantías
2016-03-17,9,2,29251.68,False,2016,3,1,Cesantías
2016-03-18,9,2,29261.68,False,2016,3,1,Cesantías
2016-03-19,9,2,29266.89,False,2016,3,1,Cesantías
2016-03-20,9,2,29271.84,False,2016,3,1,Cesantías
2016-03-21,9,2,29280.82,False,2016,3,1,Cesantías
2016-03-22,9,2,29284.34,False,2016,3,1,Cesantías
2016-03-23,9,2,29295.99,False,2016,3,1,Cesantías
2016-03-24,9,2,29300.92,False,2016,3,1,Cesantías
2016-03-25,9,2,29306.12,False,2016,3,1,Cesantías
2016-03-26,9,2,29310.59,False,2016,3,1,Cesantías
2016-03-27,9,2,29316.45,False,2016,3,1,Cesantías
2016-03-28,9,2,29319.93,False,2016,3,1,Cesantías
2016-03-29,9,2,29325.49,False,2016,3,1,Cesantías
2016-03-30,9,2,29330.45,False,2016,3,1,Cesantías
2016-03-31,9,2,29333.19,False,2016,3,1,Cesantías
2016-04-01,9,2,29337.96,False,2016,4,2,Cesantías
2016-04-02,9,2,29343.31,False,2016,4,2,Cesantías
2016-04-03,9,2,29349.46,False,2016,4,2,Cesantías
2016-04-04,9,2,29355.31,False,2016,4,2,Cesantías
2016-04-05,9,2,29360.49,False,2016,4,2,Cesantías
2016-04-06,9,2,29361.81,False,2016,4,2,Cesantías
2016-04-07,9,2,29371.98,False,2016,4,2,Cesantías
2016-04-08,9,2,29373.9,False,2016,4,2,Cesantías
2016-04-09,9,2,29379.34,False,2016,4,2,Cesantías
2016-04-10,9,2,29385.56,False,2016,4,2,Cesantías
2016-04-11,9,2,29397.43,False,2016,4,2,Cesantías
2016-04-12,9,2,29403.61,False,2016,4,2,Cesantías
