fecha,codigo_entidad,codigo_patrimonio,valor_unidad,es_outlier,año,mes,trimestre,tipo_fondo
2016-01-01,9,7000,27990.58,False,2016,1,1,Pensiones
2016-01-02,9,7000,27997.18,False,2016,1,1,Pensiones
2016-01-03,9,7000,28003.72,False,2016,1,1,Pensiones
2016-01-04,9,7000,27881.18,False,2016,1,1,Pensiones
2016-01-05,9,7000,27861.8,False,2016,1,1,Pensiones
2016-01-06,9,7000,27812.39,False,2016,1,1,Pensiones
2016-01-07,9,7000,27686.48,False,2016,1,1,Pensiones
2016-01-08,9,7000,27640.71,False,2016,1,1,Pensiones
2016-01-09,9,7000,27647.34,False,2016,1,1,Pensiones
2016-01-10,9,7000,27653.84,False,2016,1,1,Pensiones
2016-01-11,9,7000,27660.46,False,2016,1,1,Pensiones
2016-01-12,9,7000,27639.99,False,2016,1,1,Pensiones
2016-01-13,9,7000,27627.88,False,2016,1,1,Pensiones
2016-01-14,9,7000,27715.08,False,2016,1,1,Pensiones
2016-01-15,9,7000,27601.47,False,2016,1,1,Pensiones
2016-01-16,9,7000,27608.33,False,2016,1,1,Pensiones
2016-01-17,9,7000,27616.03,False,2016,1,1,Pensiones
2016-01-18,9,7000,27561.22,False,2016,1,1,Pensiones
2016-01-19,9,7000,27618.32,False,2016,1,1,Pensiones
2016-01-20,9,7000,27492.89,False,2016,1,1,Pensiones
2016-01-21,9,7000,27551.04,False,2016,1,1,Pensiones
2016-01-22,9,7000,27677.8,False,2016,1,1,Pensiones
2016-01-23,9,7000,27684.67,False,2016,1,1,Pensiones
2016-01-24,9,7000,27691.38,False,2016,1,1,Pensiones
2016-01-25,9,7000,27659.9,False,2016,1,1,Pensiones
2016-01-26,9,7000,27722.19,False,2016,1,1,Pensiones
2016-01-27,9,7000,27726.75,False,2016,1,1,Pensiones
2016-01-28,9,7000,27744.06,False,2016,1,1,Pensiones
2016-01-29,9,7000,27814.31,False,2016,1,1,Pensiones
2016-01-30,9,7000,27821.15,False,2016,1,1,Pensiones
2016-01-31,9,7000,27827.84,False,2016,1,1,Pensiones
2016-02-01,9,7000,27818.24,False,2016,2,1,Pensiones
2016-02-02,9,7000,27761.17,False,2016,2,1,Pensiones
2016-02-03,9,7000,27749.29,False,2016,2,1,Pensiones
2016-02-04,9,7000,27718.91,False,2016,2,1,Pensiones
2016-02-05,9,7000,27694.23,False,2016,2,1,Pensiones
2016-02-06,9,7000,27701.07,False,2016,2,1,Pensiones
2016-02-07,9,7000,27707.95,False,2016,2,1,Pensiones
2016-02-08,9,7000,27646.88,False,2016,2,1,Pensiones
2016-02-09,9,7000,27590.5,False,2016,2,1,Pensiones
2016-02-10,9,7000,27579.68,False,2016,2,1,Pensiones
2016-02-11,9,7000,27458.52,False,2016,2,1,Pensiones
2016-02-12,9,7000,27567.31,False,2016,2,1,Pensiones
2016-02-13,9,7000,27572.82,False,2016,2,1,Pensiones
2016-02-14,9,7000,27579.58,False,2016,2,1,Pensiones
2016-02-15,9,7000,27582.41,False,2016,2,1,Pensiones
2016-02-16,9,7000,27642.32,False,2016,2,1,Pensiones
2016-02-17,9,7000,27739.03,False,2016,2,1,Pensiones
2016-02-18,9,7000,27725.59,False,2016,2,1,Pensiones
2016-02-19,9,7000,27738.65,False,2016,2,1,Pensiones
2016-02-20,9,7000,27748.45,False,2016,2,1,Pensiones
2016-02-21,9,7000,27758.23,False,2016,2,1,Pensiones
2016-02-22,9,7000,27805.81,False,2016,2,1,Pensiones
2016-02-23,9,7000,27785.48,False,2016,2,1,Pensiones
2016-02-24,9,7000,27811.05,False,2016,2,1,Pensiones
2016-02-25,9,7000,27884.84,False,2016,2,1,Pensiones
2016-02-26,9,7000,27892.05,False,2016,2,1,Pensiones
2016-02-27,9,7000,27901.8,False,2016,2,1,Pensiones
2016-02-28,9,7000,27911.57,False,2016,2,1,Pensiones
2016-02-29,9,7000,27903.44,False,2016,2,1,Pensiones
2016-03-01,9,7000,27979.58,False,2016,3,1,Pensiones
2016-03-02,9,7000,28037.27,False,2016,3,1,Pensiones
2016-03-03,9,7000,28134.31,False,2016,3,1,Pensiones
2016-03-04,9,7000,28171.48,False,2016,3,1,Pensiones
2016-03-05,9,7000,28181.26,False,2016,3,1,Pensiones
2016-03-06,9,7000,28191.08,False,2016,3,1,Pensiones
2016-03-07,9,7000,28248.05,False,2016,3,1,Pensiones
2016-03-08,9,7000,28206.75,False,2016,3,1,Pensiones
2016-03-09,9,7000,28273.23,False,2016,3,1,Pensiones
2016-03-10,9,7000,28342.43,False,2016,3,1,Pensiones
2016-03-11,9,7000,28455.22,False,2016,3,1,Pensiones
2016-03-12,9,7000,28464.42,False,2016,3,1,Pensiones
2016-03-13,9,7000,28473.68,False,2016,3,1,Pensiones
2016-03-14,9,7000,28433.1,False,2016,3,1,Pensiones
2016-03-15,9,7000,28381.83,False,2016,3,1,Pensiones
2016-03-16,9,7000,28433.27,False,2016,3,1,Pensiones
2016-03-17,9,7000,28521.83,False,2016,3,1,Pensiones
2016-03-18,9,7000,28592.87,False,2016,3,1,Pensiones
2016-03-19,9,7000,28602.21,False,2016,3,1,Pensiones
2016-03-20,9,7000,28611.58,False,2016,3,1,Pensiones
2016-03-21,9,7000,28620.86,False,2016,3,1,Pensiones
2016-03-22,9,7000,28567.97,False,2016,3,1,Pensiones
2016-03-23,9,7000,28565.05,False,2016,3,1,Pensiones
2016-03-24,9,7000,28574.32,False,2016,3,1,Pensiones
2016-03-25,9,7000,28583.59,False,2016,3,1,Pensiones
2016-03-26,9,7000,28592.87,False,2016,3,1,Pensiones
2016-03-27,9,7000,28602.13,False,2016,3,1,Pensiones
2016-03-28,9,7000,28524.93,False,2016,3,1,Pensiones
2016-03-29,9,7000,28512.18,False,2016,3,1,Pensiones
2016-03-30,9,7000,28571.51,False,2016,3,1,Pensiones
2016-03-31,9,7000,28609.72,False,2016,3,1,Pensiones
2016-04-01,9,7000,28650.27,False,2016,4,2,Pensiones
2016-04-02,9,7000,28659.52,False,2016,4,2,Pensiones
2016-04-03,9,7000,28668.8,False,2016,4,2,Pensiones
2016-04-04,9,7000,28726.63,False,2016,4,2,Pensiones
2016-04-05,9,7000,28679.73,False,2016,4,2,Pensiones
2016-04-06,9,7000,28768.46,False,2016,4,2,Pensiones
2016-04-07,9,7000,28698.33,False,2016,4,2,Pensiones
2016-04-08,9,7000,28772.74,False,2016,4,2,Pensiones
2016-04-09,9,7000,28782.09,False,2016,4,2,Pensiones
2016-04-10,9,7000,28792.16,False,2016,4,2,Pensiones
2016-04-11,9,7000,28845.32,False,2016,4,2,Pensiones
2016-04-12,9,7000,28961.29,False,2016,4,2,Pensiones
2016-04-13,9,7000,29016.05,False,2016,4,2,Pensiones
2016-04-14,9,7000,28989.74,False,2016,4,2,Pensiones
2016-04-15,9,7000,28986.82,False,2016,4,2,Pensiones
2016-04-16,9,7000,28994.74,False,2016,4,2,Pensiones
2016-04-17,9,7000,29002.65,False,2016,4,2,Pensiones
2016-04-18,9,7000,29032.42,False,2016,4,2,Pensiones
2016-04-19,9,7000,29035.75,False,2016,4,2,Pensiones
2016-04-20,9,7000,29010.35,False,2016,4,2,Pensiones
2016-04-21,9,7000,28997.76,False,2016,4,2,Pensiones
2016-04-22,9,7000,29025.16,False,2016,4,2,Pensiones
2016-04-23,9,7000,29033.28,False,2016,4,2,Pensiones
2016-04-24,9,7000,29041.29,False,2016,4,2,Pensiones
2016-04-25,9,7000,29017.87,False,2016,4,2,Pensiones
2016-04-26,9,7000,29032.54,False,2016,4,2,Pensiones
2016-04-27,9,7000,29066.64,False,2016,4,2,Pensiones
2016-04-28,9,7000,29022.36,False,2016,4,2,Pensiones
2016-04-29,9,7000,28973.65,False,2016,4,2,Pensiones
2016-04-30,9,7000,28981.71,False,2016,4,2,Pensiones
2016-05-01,9,7000,28989.76,False,2016,5,2,Pensiones
2016-05-02,9,7000,28954.95,False,2016,5,2,Pensiones
2016-05-03,9,7000,28907.92,False,2016,5,2,Pensiones
2016-05-04,9,7000,28920.19,False,2016,5,2,Pensiones
2016-05-05,9,7000,28870.74,False,2016,5,2,Pensiones
2016-05-06,9,7000,28893.36,False,2016,5,2,Pensiones
2016-05-07,9,7000,28901.42,False,2016,5,2,Pensiones
2016-05-08,9,7000,28909.45,False,2016,5,2,Pensiones
2016-05-09,9,7000,28917.44,False,2016,5,2,Pensiones
