,tipo,n_null,%_null,n_unique
fecha,datetime64[ns],0,0.0,3609
codigo_entidad,object,0,0.0,4
nombre_entidad,category,0,0.0,4
codigo_patrimonio,object,0,0.0,7
nombre_fondo,category,0,0.0,7
valor_unidad,float64,0,0.0,89421
es_outlier,bool,0,0.0,2
año,int32,0,0.0,10
mes,int32,0,0.0,12
trimestre,int32,0,0.0,4
tipo_fondo,category,0,0.0,2
lag_1,float64,1,0.0,89420
lag_31,float64,31,0.03,89390
lag_61,float64,61,0.07,89360
lag_91,float64,91,0.1,89330
lag_121,float64,121,0.13,89300
lag_151,float64,151,0.17,89270
lag_181,float64,181,0.2,89240
lag_211,float64,211,0.23,89210
lag_241,float64,241,0.27,89180
lag_271,float64,271,0.3,89150
lag_301,float64,301,0.33,89120
lag_331,float64,331,0.37,89090
lag_361,float64,361,0.4,89062
lag_391,float64,391,0.43,89032
lag_421,float64,421,0.47,89002
lag_451,float64,451,0.5,88972
lag_481,float64,481,0.53,88942
lag_511,float64,511,0.57,88912
lag_541,float64,541,0.6,88882
lag_571,float64,571,0.63,88852
lag_601,float64,601,0.67,88822
lag_631,float64,631,0.7,88792
lag_661,float64,661,0.73,88763
lag_691,float64,691,0.77,88733
lag_721,float64,721,0.8,88704
lag_751,float64,751,0.83,88675
lag_781,float64,781,0.87,88645
lag_811,float64,811,0.9,88615
lag_841,float64,841,0.93,88585
lag_871,float64,871,0.97,88556
lag_901,float64,901,1.0,88526
lag_931,float64,931,1.03,88496
lag_961,float64,961,1.07,88466
lag_991,float64,991,1.1,88437
lag_1021,float64,1021,1.13,88407
lag_1051,float64,1051,1.16,88380
lag_1081,float64,1081,1.2,88351
lag_1111,float64,1111,1.23,88322
lag_1141,float64,1141,1.26,88292
lag_1171,float64,1171,1.3,88262
lag_1201,float64,1201,1.33,88234
lag_1231,float64,1231,1.36,88204
lag_1261,float64,1261,1.4,88174
lag_1291,float64,1291,1.43,88146
lag_1321,float64,1321,1.46,88116
lag_1351,float64,1351,1.5,88086
lag_1381,float64,1381,1.53,88056
lag_1411,float64,1411,1.56,88026
lag_1441,float64,1441,1.6,87997
lag_1471,float64,1471,1.63,87967
lag_1501,float64,1501,1.66,87939
lag_1531,float64,1531,1.7,87909
lag_1561,float64,1561,1.73,87879
lag_1591,float64,1591,1.76,87849
lag_1621,float64,1621,1.8,87819
lag_1651,float64,1651,1.83,87789
lag_1681,float64,1681,1.86,87759
lag_1711,float64,1711,1.9,87729
lag_1741,float64,1741,1.93,87699
lag_1771,float64,1771,1.96,87669
lag_1801,float64,1801,2.0,87639
lag_1831,float64,1831,2.03,87610
lag_1861,float64,1861,2.06,87580
lag_1891,float64,1891,2.1,87551
lag_1921,float64,1921,2.13,87522
lag_1951,float64,1951,2.16,87493
lag_1981,float64,1981,2.2,87463
lag_2011,float64,2011,2.23,87433
lag_2041,float64,2041,2.26,87403
lag_2071,float64,2071,2.3,87373
lag_2101,float64,2101,2.33,87344
lag_2131,float64,2131,2.36,87314
lag_2161,float64,2161,2.4,87284
lag_2191,float64,2191,2.43,87254
lag_2221,float64,2221,2.46,87225
lag_2251,float64,2251,2.5,87196
lag_2281,float64,2281,2.53,87166
lag_2311,float64,2311,2.56,87137
lag_2341,float64,2341,2.59,87107
lag_2371,float64,2371,2.63,87078
lag_2401,float64,2401,2.66,87048
lag_2431,float64,2431,2.69,87018
lag_2461,float64,2461,2.73,86989
lag_2491,float64,2491,2.76,86959
lag_2521,float64,2521,2.79,86929
lag_2551,float64,2551,2.83,86899
lag_2581,float64,2581,2.86,86869
lag_2611,float64,2611,2.89,86839
lag_2641,float64,2641,2.93,86809
lag_2671,float64,2671,2.96,86780
lag_2701,float64,2701,2.99,86750
lag_2731,float64,2731,3.03,86720
lag_2761,float64,2761,3.06,86690
lag_2791,float64,2791,3.09,86661
lag_2821,float64,2821,3.13,86631
lag_2851,float64,2851,3.16,86602
lag_2881,float64,2881,3.19,86572
lag_2911,float64,2911,3.23,86542
lag_2941,float64,2941,3.26,86512
lag_2971,float64,2971,3.29,86482
lag_3001,float64,3001,3.33,86452
