año,"""Colfondos S.A."" Y ""Colfondos""","""Porvenir""","""Proteccion""",Skandia Afp - Accai S.A.
2016,30318.18110655738,33946.0647996357,35019.721985428056,25375.565039032008
2017,34174.119958904106,38033.86702789361,39255.778452125574,28334.347984017615
2018,36462.83973757443,40286.18345258402,41699.4776544379,30110.093443235615
2019,39510.075351226944,43540.866734094976,44884.66309925799,32613.49912333855
2020,41535.293569353365,45635.79199270628,46857.18104564253,34207.70122803786
2021,45768.954484018264,50239.97947945206,51809.74257990868,37092.006575342464
2022,45331.82272146119,50448.36217808219,52113.11820091324,36427.19794520548
2023,49649.75435616438,55739.09991324201,57209.28829223744,40055.85472015656
2024,56567.60761384335,63622.50017759562,65268.48482695811,45665.02025761124
2025,61721.975134994806,69300.53709241952,71234.01566666667,49853.46024477081
