fecha,codigo_entidad,codigo_patrimonio,valor_unidad,es_outlier,año,mes,trimestre,tipo_fondo
2016-01-01,10,7000,32370.29,False,2016,1,1,Pensiones
2016-01-02,10,7000,32377.99,False,2016,1,1,Pensiones
2016-01-03,10,7000,32385.73,False,2016,1,1,Pensiones
2016-01-04,10,7000,32239.97,False,2016,1,1,Pensiones
2016-01-05,10,7000,32232.35,False,2016,1,1,Pensiones
2016-01-06,10,7000,32164.7,False,2016,1,1,Pensiones
2016-01-07,10,7000,31986.04,False,2016,1,1,Pensiones
2016-01-08,10,7000,31925.87,False,2016,1,1,Pensiones
2016-01-09,10,7000,31933.61,False,2016,1,1,Pensiones
2016-01-10,10,7000,31941.14,False,2016,1,1,Pensiones
2016-01-11,10,7000,31948.83,False,2016,1,1,Pensiones
2016-01-12,10,7000,31902.29,False,2016,1,1,Pensiones
2016-01-13,10,7000,31881.33,False,2016,1,1,Pensiones
2016-01-14,10,7000,31967.78,False,2016,1,1,Pensiones
2016-01-15,10,7000,31819.25,False,2016,1,1,Pensiones
2016-01-16,10,7000,31827.15,False,2016,1,1,Pensiones
2016-01-17,10,7000,31835.01,False,2016,1,1,Pensiones
2016-01-18,10,7000,31763.15,False,2016,1,1,Pensiones
2016-01-19,10,7000,31802.08,False,2016,1,1,Pensiones
2016-01-20,10,7000,31616.08,False,2016,1,1,Pensiones
2016-01-21,10,7000,31679.77,False,2016,1,1,Pensiones
2016-01-22,10,7000,31851.97,False,2016,1,1,Pensiones
2016-01-23,10,7000,31859.91,False,2016,1,1,Pensiones
2016-01-24,10,7000,31867.78,False,2016,1,1,Pensiones
2016-01-25,10,7000,31860.73,False,2016,1,1,Pensiones
2016-01-26,10,7000,31943.37,False,2016,1,1,Pensiones
2016-01-27,10,7000,31965.2,False,2016,1,1,Pensiones
2016-01-28,10,7000,31989.93,False,2016,1,1,Pensiones
2016-01-29,10,7000,32069.34,False,2016,1,1,Pensiones
2016-01-30,10,7000,32077.27,False,2016,1,1,Pensiones
2016-01-31,10,7000,32084.75,False,2016,1,1,Pensiones
2016-02-01,10,7000,32082.28,False,2016,2,1,Pensiones
2016-02-02,10,7000,31991.04,False,2016,2,1,Pensiones
2016-02-03,10,7000,31984.68,False,2016,2,1,Pensiones
2016-02-04,10,7000,31915.08,False,2016,2,1,Pensiones
2016-02-05,10,7000,31883.27,False,2016,2,1,Pensiones
2016-02-06,10,7000,31891.21,False,2016,2,1,Pensiones
2016-02-07,10,7000,31899.07,False,2016,2,1,Pensiones
2016-02-08,10,7000,31825.98,False,2016,2,1,Pensiones
2016-02-09,10,7000,31723.64,False,2016,2,1,Pensiones
2016-02-10,10,7000,31694.7,False,2016,2,1,Pensiones
2016-02-11,10,7000,31537.91,False,2016,2,1,Pensiones
2016-02-12,10,7000,31666.69,False,2016,2,1,Pensiones
2016-02-13,10,7000,31674.03,False,2016,2,1,Pensiones
2016-02-14,10,7000,31681.99,False,2016,2,1,Pensiones
2016-02-15,10,7000,31714.2,False,2016,2,1,Pensiones
2016-02-16,10,7000,31773.24,False,2016,2,1,Pensiones
2016-02-17,10,7000,31911.04,False,2016,2,1,Pensiones
2016-02-18,10,7000,31891.79,False,2016,2,1,Pensiones
2016-02-19,10,7000,31911.93,False,2016,2,1,Pensiones
2016-02-20,10,7000,31923.01,False,2016,2,1,Pensiones
2016-02-21,10,7000,31934.1,False,2016,2,1,Pensiones
2016-02-22,10,7000,31997.84,False,2016,2,1,Pensiones
2016-02-23,10,7000,31979.75,False,2016,2,1,Pensiones
2016-02-24,10,7000,32008.02,False,2016,2,1,Pensiones
2016-02-25,10,7000,32096.59,False,2016,2,1,Pensiones
2016-02-26,10,7000,32097.97,False,2016,2,1,Pensiones
2016-02-27,10,7000,32109.33,False,2016,2,1,Pensiones
2016-02-28,10,7000,32120.63,False,2016,2,1,Pensiones
2016-02-29,10,7000,32111.18,False,2016,2,1,Pensiones
2016-03-01,10,7000,32192.88,False,2016,3,1,Pensiones
2016-03-02,10,7000,32274.1,False,2016,3,1,Pensiones
2016-03-03,10,7000,32386.92,False,2016,3,1,Pensiones
2016-03-04,10,7000,32448.51,False,2016,3,1,Pensiones
2016-03-05,10,7000,32459.68,False,2016,3,1,Pensiones
2016-03-06,10,7000,32470.81,False,2016,3,1,Pensiones
2016-03-07,10,7000,32503.41,False,2016,3,1,Pensiones
2016-03-08,10,7000,32459.13,False,2016,3,1,Pensiones
2016-03-09,10,7000,32547.75,False,2016,3,1,Pensiones
2016-03-10,10,7000,32672.33,False,2016,3,1,Pensiones
2016-03-11,10,7000,32806.97,False,2016,3,1,Pensiones
2016-03-12,10,7000,32817.77,False,2016,3,1,Pensiones
2016-03-13,10,7000,32828.86,False,2016,3,1,Pensiones
2016-03-14,10,7000,32783.92,False,2016,3,1,Pensiones
2016-03-15,10,7000,32737.66,False,2016,3,1,Pensiones
2016-03-16,10,7000,32791.68,False,2016,3,1,Pensiones
2016-03-17,10,7000,32875.63,False,2016,3,1,Pensiones
2016-03-18,10,7000,32948.86,False,2016,3,1,Pensiones
2016-03-19,10,7000,32959.48,False,2016,3,1,Pensiones
2016-03-20,10,7000,32970.29,False,2016,3,1,Pensiones
2016-03-21,10,7000,32981.11,False,2016,3,1,Pensiones
2016-03-22,10,7000,32960.65,False,2016,3,1,Pensiones
2016-03-23,10,7000,32974.37,False,2016,3,1,Pensiones
2016-03-24,10,7000,32985.24,False,2016,3,1,Pensiones
2016-03-25,10,7000,32996.9,False,2016,3,1,Pensiones
2016-03-26,10,7000,33007.77,False,2016,3,1,Pensiones
2016-03-27,10,7000,33018.53,False,2016,3,1,Pensiones
2016-03-28,10,7000,32914.27,False,2016,3,1,Pensiones
2016-03-29,10,7000,32901.28,False,2016,3,1,Pensiones
2016-03-30,10,7000,32946.4,False,2016,3,1,Pensiones
2016-03-31,10,7000,33010.12,False,2016,3,1,Pensiones
2016-04-01,10,7000,33045.83,False,2016,4,2,Pensiones
2016-04-02,10,7000,33056.57,False,2016,4,2,Pensiones
2016-04-03,10,7000,33067.26,False,2016,4,2,Pensiones
