fecha,codigo_entidad,codigo_patrimonio,valor_unidad,es_outlier,año,mes,trimestre,tipo_fondo
2016-01-01,3,1,27382.34,False,2016,1,1,Cesantías
2016-01-02,3,1,27384.66,False,2016,1,1,Cesantías
2016-01-03,3,1,27386.98,False,2016,1,1,Cesantías
2016-01-04,3,1,27172.99,False,2016,1,1,Cesantías
2016-01-05,3,1,27217.27,False,2016,1,1,Cesantías
2016-01-06,3,1,27108.71,False,2016,1,1,Cesantías
2016-01-07,3,1,26910.32,False,2016,1,1,Cesantías
2016-01-08,3,1,26803.13,False,2016,1,1,Cesantías
2016-01-09,3,1,26805.52,False,2016,1,1,Cesantías
2016-01-10,3,1,26808.4,False,2016,1,1,Cesantías
2016-01-11,3,1,26810.74,False,2016,1,1,Cesantías
2016-01-12,3,1,26734.59,False,2016,1,1,Cesantías
2016-01-13,3,1,26768.36,False,2016,1,1,Cesantías
2016-01-14,3,1,26900.5,False,2016,1,1,Cesantías
2016-01-15,3,1,26681.39,False,2016,1,1,Cesantías
2016-01-16,3,1,26683.95,False,2016,1,1,Cesantías
2016-01-17,3,1,26686.49,False,2016,1,1,Cesantías
2016-01-18,3,1,26591.36,False,2016,1,1,Cesantías
2016-01-19,3,1,26712.23,False,2016,1,1,Cesantías
2016-01-20,3,1,26567.44,False,2016,1,1,Cesantías
2016-01-21,3,1,26669.85,False,2016,1,1,Cesantías
2016-01-22,3,1,26913.05,False,2016,1,1,Cesantías
2016-01-23,3,1,26915.71,False,2016,1,1,Cesantías
2016-01-24,3,1,26919.24,False,2016,1,1,Cesantías
2016-01-25,3,1,26878.63,False,2016,1,1,Cesantías
2016-01-26,3,1,26994.52,False,2016,1,1,Cesantías
2016-01-27,3,1,27006.17,False,2016,1,1,Cesantías
2016-01-28,3,1,27015.66,False,2016,1,1,Cesantías
2016-01-29,3,1,27177.85,False,2016,1,1,Cesantías
2016-01-30,3,1,27180.3,False,2016,1,1,Cesantías
2016-01-31,3,1,27182.67,False,2016,1,1,Cesantías
2016-02-01,3,1,27224.36,False,2016,2,1,Cesantías
2016-02-02,3,1,27084.98,False,2016,2,1,Cesantías
2016-02-03,3,1,27096.97,False,2016,2,1,Cesantías
2016-02-04,3,1,27012.52,False,2016,2,1,Cesantías
2016-02-05,3,1,26954.62,False,2016,2,1,Cesantías
2016-02-06,3,1,26957.33,False,2016,2,1,Cesantías
2016-02-07,3,1,26959.98,False,2016,2,1,Cesantías
2016-02-08,3,1,26871.64,False,2016,2,1,Cesantías
2016-02-09,3,1,26767.09,False,2016,2,1,Cesantías
2016-02-10,3,1,26767.98,False,2016,2,1,Cesantías
2016-02-11,3,1,26598.13,False,2016,2,1,Cesantías
2016-02-12,3,1,26718.29,False,2016,2,1,Cesantías
2016-02-13,3,1,26720.82,False,2016,2,1,Cesantías
2016-02-14,3,1,26723.64,False,2016,2,1,Cesantías
2016-02-15,3,1,26806.04,False,2016,2,1,Cesantías
2016-02-16,3,1,26871.54,False,2016,2,1,Cesantías
2016-02-17,3,1,27079.93,False,2016,2,1,Cesantías
2016-02-18,3,1,27073.37,False,2016,2,1,Cesantías
2016-02-19,3,1,27087.45,False,2016,2,1,Cesantías
2016-02-20,3,1,27091.41,False,2016,2,1,Cesantías
2016-02-21,3,1,27095.35,False,2016,2,1,Cesantías
2016-02-22,3,1,27179.25,False,2016,2,1,Cesantías
2016-02-23,3,1,27081.75,False,2016,2,1,Cesantías
2016-02-24,3,1,27057.44,False,2016,2,1,Cesantías
2016-02-25,3,1,27173.1,False,2016,2,1,Cesantías
2016-02-26,3,1,27209.3,False,2016,2,1,Cesantías
2016-02-27,3,1,27213.01,False,2016,2,1,Cesantías
2016-02-28,3,1,27216.78,False,2016,2,1,Cesantías
2016-02-29,3,1,27206.36,False,2016,2,1,Cesantías
2016-03-01,3,1,27352.62,False,2016,3,1,Cesantías
2016-03-02,3,1,27453.57,False,2016,3,1,Cesantías
2016-03-03,3,1,27563.46,False,2016,3,1,Cesantías
2016-03-04,3,1,27564.34,False,2016,3,1,Cesantías
2016-03-05,3,1,27568.12,False,2016,3,1,Cesantías
2016-03-06,3,1,27571.92,False,2016,3,1,Cesantías
2016-03-07,3,1,27592.62,False,2016,3,1,Cesantías
2016-03-08,3,1,27496.14,False,2016,3,1,Cesantías
2016-03-09,3,1,27559.77,False,2016,3,1,Cesantías
2016-03-10,3,1,27644.75,False,2016,3,1,Cesantías
2016-03-11,3,1,27757.19,False,2016,3,1,Cesantías
2016-03-12,3,1,27760.81,False,2016,3,1,Cesantías
2016-03-13,3,1,27764.42,False,2016,3,1,Cesantías
2016-03-14,3,1,27746.45,False,2016,3,1,Cesantías
2016-03-15,3,1,27640.0,False,2016,3,1,Cesantías
2016-03-16,3,1,27695.32,False,2016,3,1,Cesantías
2016-03-17,3,1,27696.94,False,2016,3,1,Cesantías
2016-03-18,3,1,27792.15,False,2016,3,1,Cesantías
2016-03-19,3,1,27795.82,False,2016,3,1,Cesantías
2016-03-20,3,1,27799.27,False,2016,3,1,Cesantías
2016-03-21,3,1,27802.76,False,2016,3,1,Cesantías
2016-03-22,3,1,27848.67,False,2016,3,1,Cesantías
2016-03-23,3,1,27884.05,False,2016,3,1,Cesantías
2016-03-24,3,1,27887.56,False,2016,3,1,Cesantías
2016-03-25,3,1,27891.09,False,2016,3,1,Cesantías
2016-03-26,3,1,27894.66,False,2016,3,1,Cesantías
2016-03-27,3,1,27898.19,False,2016,3,1,Cesantías
2016-03-28,3,1,27796.01,False,2016,3,1,Cesantías
2016-03-29,3,1,27829.45,False,2016,3,1,Cesantías
2016-03-30,3,1,27913.53,False,2016,3,1,Cesantías
2016-03-31,3,1,27945.8,False,2016,3,1,Cesantías
2016-04-01,3,1,27909.4,False,2016,4,2,Cesantías
2016-04-02,3,1,27912.78,False,2016,4,2,Cesantías
2016-04-03,3,1,27916.19,False,2016,4,2,Cesantías
2016-04-04,3,1,27961.08,False,2016,4,2,Cesantías
2016-04-05,3,1,27776.21,False,2016,4,2,Cesantías
2016-04-06,3,1,27871.85,False,2016,4,2,Cesantías
2016-04-07,3,1,27769.8,False,2016,4,2,Cesantías
2016-04-08,3,1,27878.28,False,2016,4,2,Cesantías
2016-04-09,3,1,27876.65,False,2016,4,2,Cesantías
2016-04-10,3,1,27880.14,False,2016,4,2,Cesantías
2016-04-11,3,1,27926.5,False,2016,4,2,Cesantías
2016-04-12,3,1,28076.94,False,2016,4,2,Cesantías
2016-04-13,3,1,28202.88,False,2016,4,2,Cesantías
2016-04-14,3,1,28199.95,False,2016,4,2,Cesantías
2016-04-15,3,1,28143.7,False,2016,4,2,Cesantías
2016-04-16,3,1,28146.58,False,2016,4,2,Cesantías
2016-04-17,3,1,28149.55,False,2016,4,2,Cesantías
2016-04-18,3,1,28181.16,False,2016,4,2,Cesantías
2016-04-19,3,1,28263.02,False,2016,4,2,Cesantías
2016-04-20,3,1,28269.77,False,2016,4,2,Cesantías
2016-04-21,3,1,28268.7,False,2016,4,2,Cesantías
2016-04-22,3,1,28300.73,False,2016,4,2,Cesantías
2016-04-23,3,1,28303.8,False,2016,4,2,Cesantías
2016-04-24,3,1,28307.8,False,2016,4,2,Cesantías
2016-04-25,3,1,28248.45,False,2016,4,2,Cesantías
2016-04-26,3,1,28258.33,False,2016,4,2,Cesantías
2016-04-27,3,1,28258.81,False,2016,4,2,Cesantías
2016-04-28,3,1,28124.96,False,2016,4,2,Cesantías
2016-04-29,3,1,27966.11,False,2016,4,2,Cesantías
2016-04-30,3,1,27969.2,False,2016,4,2,Cesantías
