fecha,codigo_entidad,codigo_patrimonio,valor_unidad,es_outlier,año,mes,trimestre,tipo_fondo
2016-01-01,3,1000,34476.39,False,2016,1,1,Pensiones
2016-01-02,3,1000,34480.89,False,2016,1,1,Pensiones
2016-01-03,3,1000,34485.36,False,2016,1,1,Pensiones
2016-01-04,3,1000,34314.07,False,2016,1,1,Pensiones
2016-01-05,3,1000,34329.28,False,2016,1,1,Pensiones
2016-01-06,3,1000,34260.63,False,2016,1,1,Pensiones
2016-01-07,3,1000,34008.5,False,2016,1,1,Pensiones
2016-01-08,3,1000,33799.46,False,2016,1,1,Pensiones
2016-01-09,3,1000,33804.05,False,2016,1,1,Pensiones
2016-01-10,3,1000,33808.55,False,2016,1,1,Pensiones
2016-01-11,3,1000,33813.13,False,2016,1,1,Pensiones
2016-01-12,3,1000,33657.19,False,2016,1,1,Pensiones
2016-01-13,3,1000,33692.13,False,2016,1,1,Pensiones
2016-01-14,3,1000,33846.71,False,2016,1,1,Pensiones
2016-01-15,3,1000,33636.17,False,2016,1,1,Pensiones
2016-01-16,3,1000,33641.56,False,2016,1,1,Pensiones
2016-01-17,3,1000,33646.23,False,2016,1,1,Pensiones
2016-01-18,3,1000,33464.81,False,2016,1,1,Pensiones
2016-01-19,3,1000,33653.09,False,2016,1,1,Pensiones
2016-01-20,3,1000,33549.94,False,2016,1,1,Pensiones
2016-01-21,3,1000,33707.87,False,2016,1,1,Pensiones
2016-01-22,3,1000,33936.47,False,2016,1,1,Pensiones
2016-01-23,3,1000,33941.15,False,2016,1,1,Pensiones
2016-01-24,3,1000,33945.89,False,2016,1,1,Pensiones
2016-01-25,3,1000,34015.88,False,2016,1,1,Pensiones
2016-01-26,3,1000,34136.72,False,2016,1,1,Pensiones
2016-01-27,3,1000,34172.7,False,2016,1,1,Pensiones
2016-01-28,3,1000,34109.93,False,2016,1,1,Pensiones
2016-01-29,3,1000,34304.56,False,2016,1,1,Pensiones
2016-01-30,3,1000,34309.36,False,2016,1,1,Pensiones
2016-01-31,3,1000,34313.87,False,2016,1,1,Pensiones
2016-02-01,3,1000,34471.27,False,2016,2,1,Pensiones
2016-02-02,3,1000,34367.61,False,2016,2,1,Pensiones
2016-02-03,3,1000,34362.21,False,2016,2,1,Pensiones
2016-02-04,3,1000,34223.72,False,2016,2,1,Pensiones
2016-02-05,3,1000,34177.17,False,2016,2,1,Pensiones
2016-02-06,3,1000,34182.61,False,2016,2,1,Pensiones
2016-02-07,3,1000,34187.34,False,2016,2,1,Pensiones
2016-02-08,3,1000,34102.95,False,2016,2,1,Pensiones
2016-02-09,3,1000,33998.85,False,2016,2,1,Pensiones
2016-02-10,3,1000,33987.48,False,2016,2,1,Pensiones
2016-02-11,3,1000,33812.16,False,2016,2,1,Pensiones
2016-02-12,3,1000,33950.17,False,2016,2,1,Pensiones
2016-02-13,3,1000,33955.31,False,2016,2,1,Pensiones
2016-02-14,3,1000,33960.22,False,2016,2,1,Pensiones
2016-02-15,3,1000,34087.09,False,2016,2,1,Pensiones
2016-02-16,3,1000,34166.63,False,2016,2,1,Pensiones
2016-02-17,3,1000,34470.26,False,2016,2,1,Pensiones
2016-02-18,3,1000,34415.92,False,2016,2,1,Pensiones
2016-02-19,3,1000,34423.5,False,2016,2,1,Pensiones
2016-02-20,3,1000,34429.74,False,2016,2,1,Pensiones
2016-02-21,3,1000,34436.61,False,2016,2,1,Pensiones
2016-02-22,3,1000,34498.08,False,2016,2,1,Pensiones
2016-02-23,3,1000,34422.78,False,2016,2,1,Pensiones
2016-02-24,3,1000,34386.49,False,2016,2,1,Pensiones
2016-02-25,3,1000,34509.38,False,2016,2,1,Pensiones
2016-02-26,3,1000,34573.75,False,2016,2,1,Pensiones
2016-02-27,3,1000,34580.58,False,2016,2,1,Pensiones
2016-02-28,3,1000,34587.27,False,2016,2,1,Pensiones
2016-02-29,3,1000,34592.38,False,2016,2,1,Pensiones
2016-03-01,3,1000,34729.48,False,2016,3,1,Pensiones
2016-03-02,3,1000,34824.8,False,2016,3,1,Pensiones
2016-03-03,3,1000,35000.86,False,2016,3,1,Pensiones
2016-03-04,3,1000,35004.62,False,2016,3,1,Pensiones
2016-03-05,3,1000,35010.9,False,2016,3,1,Pensiones
2016-03-06,3,1000,35017.21,False,2016,3,1,Pensiones
2016-03-07,3,1000,35032.55,False,2016,3,1,Pensiones
2016-03-08,3,1000,34936.4,False,2016,3,1,Pensiones
2016-03-09,3,1000,35066.32,False,2016,3,1,Pensiones
2016-03-10,3,1000,35187.93,False,2016,3,1,Pensiones
2016-03-11,3,1000,35329.88,False,2016,3,1,Pensiones
2016-03-12,3,1000,35336.24,False,2016,3,1,Pensiones
2016-03-13,3,1000,35342.4,False,2016,3,1,Pensiones
2016-03-14,3,1000,35346.76,False,2016,3,1,Pensiones
2016-03-15,3,1000,35192.85,False,2016,3,1,Pensiones
2016-03-16,3,1000,35229.96,False,2016,3,1,Pensiones
2016-03-17,3,1000,35230.73,False,2016,3,1,Pensiones
2016-03-18,3,1000,35347.84,False,2016,3,1,Pensiones
2016-03-19,3,1000,35354.0,False,2016,3,1,Pensiones
2016-03-20,3,1000,35360.33,False,2016,3,1,Pensiones
2016-03-21,3,1000,35366.43,False,2016,3,1,Pensiones
2016-03-22,3,1000,35342.7,False,2016,3,1,Pensiones
2016-03-23,3,1000,35351.3,False,2016,3,1,Pensiones
2016-03-24,3,1000,35357.56,False,2016,3,1,Pensiones
2016-03-25,3,1000,35363.5,False,2016,3,1,Pensiones
2016-03-26,3,1000,35369.93,False,2016,3,1,Pensiones
2016-03-27,3,1000,35376.12,False,2016,3,1,Pensiones
2016-03-28,3,1000,35220.48,False,2016,3,1,Pensiones
2016-03-29,3,1000,35254.38,False,2016,3,1,Pensiones
2016-03-30,3,1000,35393.84,False,2016,3,1,Pensiones
2016-03-31,3,1000,35433.44,False,2016,3,1,Pensiones
2016-04-01,3,1000,35436.38,False,2016,4,2,Pensiones
2016-04-02,3,1000,35442.35,False,2016,4,2,Pensiones
2016-04-03,3,1000,35448.55,False,2016,4,2,Pensiones
2016-04-04,3,1000,35573.36,False,2016,4,2,Pensiones
2016-04-05,3,1000,35379.17,False,2016,4,2,Pensiones
2016-04-06,3,1000,35472.52,False,2016,4,2,Pensiones
2016-04-07,3,1000,35379.28,False,2016,4,2,Pensiones
2016-04-08,3,1000,35447.16,False,2016,4,2,Pensiones
2016-04-09,3,1000,35449.52,False,2016,4,2,Pensiones
2016-04-10,3,1000,35456.07,False,2016,4,2,Pensiones
2016-04-11,3,1000,35511.01,False,2016,4,2,Pensiones
2016-04-12,3,1000,35699.13,False,2016,4,2,Pensiones
2016-04-13,3,1000,35851.01,False,2016,4,2,Pensiones
2016-04-14,3,1000,35865.85,False,2016,4,2,Pensiones
2016-04-15,3,1000,35787.71,False,2016,4,2,Pensiones
2016-04-16,3,1000,35793.26,False,2016,4,2,Pensiones
2016-04-17,3,1000,35799.16,False,2016,4,2,Pensiones
2016-04-18,3,1000,35832.88,False,2016,4,2,Pensiones
2016-04-19,3,1000,35819.79,False,2016,4,2,Pensiones
2016-04-20,3,1000,35820.2,False,2016,4,2,Pensiones
2016-04-21,3,1000,35866.62,False,2016,4,2,Pensiones
2016-04-22,3,1000,35907.17,False,2016,4,2,Pensiones
2016-04-23,3,1000,35912.53,False,2016,4,2,Pensiones
2016-04-24,3,1000,35919.02,False,2016,4,2,Pensiones
2016-04-25,3,1000,35880.17,False,2016,4,2,Pensiones
2016-04-26,3,1000,35884.91,False,2016,4,2,Pensiones
2016-04-27,3,1000,35905.23,False,2016,4,2,Pensiones
2016-04-28,3,1000,35670.63,False,2016,4,2,Pensiones
2016-04-29,3,1000,35413.06,False,2016,4,2,Pensiones
2016-04-30,3,1000,35418.75,False,2016,4,2,Pensiones
2016-05-01,3,1000,35424.55,False,2016,5,2,Pensiones
2016-05-02,3,1000,35392.39,False,2016,5,2,Pensiones
2016-05-03,3,1000,35263.38,False,2016,5,2,Pensiones
2016-05-04,3,1000,35281.45,False,2016,5,2,Pensiones
2016-05-05,3,1000,35183.36,False,2016,5,2,Pensiones
2016-05-06,3,1000,35259.74,False,2016,5,2,Pensiones
2016-05-07,3,1000,35266.11,False,2016,5,2,Pensiones
2016-05-08,3,1000,35271.98,False,2016,5,2,Pensiones
2016-05-09,3,1000,35277.7,False,2016,5,2,Pensiones
2016-05-10,3,1000,35659.72,False,2016,5,2,Pensiones
2016-05-11,3,1000,35645.61,False,2016,5,2,Pensiones
2016-05-12,3,1000,35660.44,False,2016,5,2,Pensiones
2016-05-13,3,1000,35726.12,False,2016,5,2,Pensiones
2016-05-14,3,1000,35731.97,False,2016,5,2,Pensiones
2016-05-15,3,1000,35737.93,False,2016,5,2,Pensiones
2016-05-16,3,1000,35908.28,False,2016,5,2,Pensiones
2016-05-17,3,1000,35853.07,False,2016,5,2,Pensiones
2016-05-18,3,1000,35785.15,False,2016,5,2,Pensiones
2016-05-19,3,1000,35731.39,False,2016,5,2,Pensiones
2016-05-20,3,1000,35778.98,False,2016,5,2,Pensiones
2016-05-21,3,1000,35784.2,False,2016,5,2,Pensiones
2016-05-22,3,1000,35789.15,False,2016,5,2,Pensiones
2016-05-23,3,1000,35800.44,False,2016,5,2,Pensiones
2016-05-24,3,1000,35897.7,False,2016,5,2,Pensiones
2016-05-25,3,1000,35951.59,False,2016,5,2,Pensiones
2016-05-26,3,1000,35941.99,False,2016,5,2,Pensiones
2016-05-27,3,1000,35996.42,False,2016,5,2,Pensiones
2016-05-28,3,1000,36001.64,False,2016,5,2,Pensiones
2016-05-29,3,1000,36006.42,False,2016,5,2,Pensiones
2016-05-30,3,1000,36011.98,False,2016,5,2,Pensiones
2016-05-31,3,1000,36054.78,False,2016,5,2,Pensiones
2016-06-01,3,1000,36130.45,False,2016,6,2,Pensiones
2016-06-02,3,1000,36151.47,False,2016,6,2,Pensiones
2016-06-03,3,1000,35982.01,False,2016,6,2,Pensiones
2016-06-04,3,1000,35987.28,False,2016,6,2,Pensiones
2016-06-05,3,1000,35992.0,False,2016,6,2,Pensiones
2016-06-06,3,1000,35997.59,False,2016,6,2,Pensiones
2016-06-07,3,1000,35930.77,False,2016,6,2,Pensiones
