fecha,codigo_entidad,codigo_patrimonio,valor_unidad,es_outlier,año,mes,trimestre,tipo_fondo
2016-01-01,9,8000,2637.3,True,2016,1,1,Pensiones
2016-01-02,9,8000,2637.63,True,2016,1,1,Pensiones
2016-01-03,9,8000,2637.93,True,2016,1,1,Pensiones
2016-01-04,9,8000,2629.92,True,2016,1,1,Pensiones
2016-01-05,9,8000,2627.32,True,2016,1,1,Pensiones
2016-01-06,9,8000,2636.79,True,2016,1,1,Pensiones
2016-01-07,9,8000,2624.32,True,2016,1,1,Pensiones
2016-01-08,9,8000,2608.98,True,2016,1,1,Pensiones
2016-01-09,9,8000,2609.29,True,2016,1,1,Pensiones
2016-01-10,9,8000,2609.6,True,2016,1,1,Pensiones
2016-01-11,9,8000,2609.91,True,2016,1,1,Pensiones
2016-01-12,9,8000,2599.92,True,2016,1,1,Pensiones
2016-01-13,9,8000,2597.41,True,2016,1,1,Pensiones
2016-01-14,9,8000,2615.57,True,2016,1,1,Pensiones
2016-01-15,9,8000,2606.26,True,2016,1,1,Pensiones
2016-01-16,9,8000,2606.57,True,2016,1,1,Pensiones
2016-01-17,9,8000,2606.88,True,2016,1,1,Pensiones
2016-01-18,9,8000,2596.4,True,2016,1,1,Pensiones
2016-01-19,9,8000,2609.92,True,2016,1,1,Pensiones
2016-01-20,9,8000,2615.04,True,2016,1,1,Pensiones
2016-01-21,9,8000,2626.56,True,2016,1,1,Pensiones
2016-01-22,9,8000,2629.58,True,2016,1,1,Pensiones
2016-01-23,9,8000,2629.9,True,2016,1,1,Pensiones
2016-01-24,9,8000,2630.22,True,2016,1,1,Pensiones
2016-01-25,9,8000,2641.76,True,2016,1,1,Pensiones
2016-01-26,9,8000,2654.51,True,2016,1,1,Pensiones
2016-01-27,9,8000,2652.42,True,2016,1,1,Pensiones
2016-01-28,9,8000,2641.82,True,2016,1,1,Pensiones
2016-01-29,9,8000,2654.17,True,2016,1,1,Pensiones
2016-01-30,9,8000,2654.48,True,2016,1,1,Pensiones
2016-01-31,9,8000,2654.78,True,2016,1,1,Pensiones
2016-02-01,9,8000,2665.83,True,2016,2,1,Pensiones
2016-02-02,9,8000,2667.03,True,2016,2,1,Pensiones
2016-02-03,9,8000,2669.27,True,2016,2,1,Pensiones
2016-02-04,9,8000,2653.16,True,2016,2,1,Pensiones
2016-02-05,9,8000,2649.03,True,2016,2,1,Pensiones
2016-02-06,9,8000,2649.34,True,2016,2,1,Pensiones
2016-02-07,9,8000,2649.66,True,2016,2,1,Pensiones
2016-02-08,9,8000,2651.48,True,2016,2,1,Pensiones
2016-02-09,9,8000,2652.2,True,2016,2,1,Pensiones
2016-02-10,9,8000,2647.87,True,2016,2,1,Pensiones
2016-02-11,9,8000,2647.79,True,2016,2,1,Pensiones
2016-02-12,9,8000,2654.0,True,2016,2,1,Pensiones
2016-02-13,9,8000,2654.23,True,2016,2,1,Pensiones
2016-02-14,9,8000,2654.56,True,2016,2,1,Pensiones
2016-02-15,9,8000,2656.3,True,2016,2,1,Pensiones
2016-02-16,9,8000,2664.37,True,2016,2,1,Pensiones
2016-02-17,9,8000,2680.79,True,2016,2,1,Pensiones
2016-02-18,9,8000,2666.34,True,2016,2,1,Pensiones
2016-02-19,9,8000,2670.2,True,2016,2,1,Pensiones
2016-02-20,9,8000,2670.62,True,2016,2,1,Pensiones
2016-02-21,9,8000,2671.03,True,2016,2,1,Pensiones
2016-02-22,9,8000,2669.24,True,2016,2,1,Pensiones
2016-02-23,9,8000,2663.36,True,2016,2,1,Pensiones
2016-02-24,9,8000,2667.88,True,2016,2,1,Pensiones
2016-02-25,9,8000,2672.24,True,2016,2,1,Pensiones
2016-02-26,9,8000,2674.04,True,2016,2,1,Pensiones
2016-02-27,9,8000,2674.46,True,2016,2,1,Pensiones
2016-02-28,9,8000,2674.88,True,2016,2,1,Pensiones
2016-02-29,9,8000,2673.47,True,2016,2,1,Pensiones
2016-03-01,9,8000,2679.41,True,2016,3,1,Pensiones
2016-03-02,9,8000,2674.23,True,2016,3,1,Pensiones
2016-03-03,9,8000,2686.12,True,2016,3,1,Pensiones
2016-03-04,9,8000,2681.62,True,2016,3,1,Pensiones
2016-03-05,9,8000,2682.03,True,2016,3,1,Pensiones
2016-03-06,9,8000,2682.44,True,2016,3,1,Pensiones
2016-03-07,9,8000,2681.81,True,2016,3,1,Pensiones
2016-03-08,9,8000,2676.48,True,2016,3,1,Pensiones
2016-03-09,9,8000,2692.4,True,2016,3,1,Pensiones
2016-03-10,9,8000,2700.39,True,2016,3,1,Pensiones
2016-03-11,9,8000,2705.57,True,2016,3,1,Pensiones
2016-03-12,9,8000,2705.96,True,2016,3,1,Pensiones
2016-03-13,9,8000,2706.38,True,2016,3,1,Pensiones
2016-03-14,9,8000,2706.93,True,2016,3,1,Pensiones
2016-03-15,9,8000,2697.21,True,2016,3,1,Pensiones
2016-03-16,9,8000,2698.46,True,2016,3,1,Pensiones
2016-03-17,9,8000,2689.36,True,2016,3,1,Pensiones
2016-03-18,9,8000,2692.01,True,2016,3,1,Pensiones
2016-03-19,9,8000,2692.41,True,2016,3,1,Pensiones
2016-03-20,9,8000,2692.81,True,2016,3,1,Pensiones
2016-03-21,9,8000,2693.21,True,2016,3,1,Pensiones
2016-03-22,9,8000,2689.33,True,2016,3,1,Pensiones
2016-03-23,9,8000,2686.49,True,2016,3,1,Pensiones
2016-03-24,9,8000,2686.89,True,2016,3,1,Pensiones
2016-03-25,9,8000,2687.29,True,2016,3,1,Pensiones
2016-03-26,9,8000,2687.7,True,2016,3,1,Pensiones
2016-03-27,9,8000,2688.11,True,2016,3,1,Pensiones
2016-03-28,9,8000,2678.27,True,2016,3,1,Pensiones
2016-03-29,9,8000,2683.85,True,2016,3,1,Pensiones
2016-03-30,9,8000,2687.86,True,2016,3,1,Pensiones
