fecha,codigo_entidad,codigo_patrimonio,valor_unidad,es_outlier,año,mes,trimestre,tipo_fondo
2016-01-01,9,6000,26374.4,False,2016,1,1,Pensiones
2016-01-02,9,6000,26377.33,False,2016,1,1,Pensiones
2016-01-03,9,6000,26380.22,False,2016,1,1,Pensiones
2016-01-04,9,6000,26032.41,False,2016,1,1,Pensiones
2016-01-05,9,6000,26037.52,False,2016,1,1,Pensiones
2016-01-06,9,6000,25867.16,False,2016,1,1,Pensiones
2016-01-07,9,6000,25572.54,False,2016,1,1,Pensiones
2016-01-08,9,6000,25361.03,False,2016,1,1,Pensiones
2016-01-09,9,6000,25363.87,False,2016,1,1,Pensiones
2016-01-10,9,6000,25366.72,False,2016,1,1,Pensiones
2016-01-11,9,6000,25369.5,False,2016,1,1,Pensiones
2016-01-12,9,6000,25269.6,False,2016,1,1,Pensiones
2016-01-13,9,6000,25326.11,False,2016,1,1,Pensiones
2016-01-14,9,6000,25559.54,False,2016,1,1,Pensiones
2016-01-15,9,6000,25199.34,False,2016,1,1,Pensiones
2016-01-16,9,6000,25202.5,False,2016,1,1,Pensiones
2016-01-17,9,6000,25205.67,False,2016,1,1,Pensiones
2016-01-18,9,6000,25041.03,False,2016,1,1,Pensiones
2016-01-19,9,6000,25223.72,False,2016,1,1,Pensiones
2016-01-20,9,6000,25037.81,False,2016,1,1,Pensiones
2016-01-21,9,6000,25198.01,False,2016,1,1,Pensiones
2016-01-22,9,6000,25623.78,False,2016,1,1,Pensiones
2016-01-23,9,6000,25626.84,False,2016,1,1,Pensiones
2016-01-24,9,6000,25629.92,False,2016,1,1,Pensiones
2016-01-25,9,6000,25538.91,False,2016,1,1,Pensiones
2016-01-26,9,6000,25700.05,False,2016,1,1,Pensiones
2016-01-27,9,6000,25710.85,False,2016,1,1,Pensiones
2016-01-28,9,6000,25729.05,False,2016,1,1,Pensiones
2016-01-29,9,6000,25963.52,False,2016,1,1,Pensiones
2016-01-30,9,6000,25966.32,False,2016,1,1,Pensiones
2016-01-31,9,6000,25968.94,False,2016,1,1,Pensiones
2016-02-01,9,6000,26019.89,False,2016,2,1,Pensiones
2016-02-02,9,6000,25775.5,False,2016,2,1,Pensiones
2016-02-03,9,6000,25762.96,False,2016,2,1,Pensiones
2016-02-04,9,6000,25729.95,False,2016,2,1,Pensiones
2016-02-05,9,6000,25667.77,False,2016,2,1,Pensiones
2016-02-06,9,6000,25670.69,False,2016,2,1,Pensiones
2016-02-07,9,6000,25673.61,False,2016,2,1,Pensiones
