fecha,codigo_entidad,codigo_patrimonio,valor_unidad,es_outlier,año,mes,trimestre,tipo_fondo
2016-01-01,9,1000,27537.9,False,2016,1,1,Pensiones
2016-01-02,9,1000,27541.82,False,2016,1,1,Pensiones
2016-01-03,9,1000,27545.57,False,2016,1,1,Pensiones
2016-01-04,9,1000,27332.44,False,2016,1,1,Pensiones
2016-01-05,9,1000,27333.74,False,2016,1,1,Pensiones
2016-01-06,9,1000,27353.14,False,2016,1,1,Pensiones
2016-01-07,9,1000,27153.47,False,2016,1,1,Pensiones
2016-01-08,9,1000,27008.51,False,2016,1,1,Pensiones
2016-01-09,9,1000,27012.18,False,2016,1,1,Pensiones
2016-01-10,9,1000,27016.04,False,2016,1,1,Pensiones
2016-01-11,9,1000,27019.88,False,2016,1,1,Pensiones
2016-01-12,9,1000,26928.83,False,2016,1,1,Pensiones
2016-01-13,9,1000,26941.89,False,2016,1,1,Pensiones
2016-01-14,9,1000,27138.37,False,2016,1,1,Pensiones
2016-01-15,9,1000,26926.09,False,2016,1,1,Pensiones
2016-01-16,9,1000,26930.02,False,2016,1,1,Pensiones
2016-01-17,9,1000,26933.95,False,2016,1,1,Pensiones
2016-01-18,9,1000,26800.64,False,2016,1,1,Pensiones
2016-01-19,9,1000,26954.03,False,2016,1,1,Pensiones
2016-01-20,9,1000,26877.59,False,2016,1,1,Pensiones
2016-01-21,9,1000,27008.88,False,2016,1,1,Pensiones
2016-01-22,9,1000,27219.22,False,2016,1,1,Pensiones
2016-01-23,9,1000,27223.29,False,2016,1,1,Pensiones
2016-01-24,9,1000,27227.24,False,2016,1,1,Pensiones
2016-01-25,9,1000,27210.59,False,2016,1,1,Pensiones
2016-01-26,9,1000,27336.17,False,2016,1,1,Pensiones
2016-01-27,9,1000,27337.64,False,2016,1,1,Pensiones
2016-01-28,9,1000,27336.52,False,2016,1,1,Pensiones
2016-01-29,9,1000,27522.79,False,2016,1,1,Pensiones
2016-01-30,9,1000,27527.04,False,2016,1,1,Pensiones
2016-01-31,9,1000,27530.82,False,2016,1,1,Pensiones
2016-02-01,9,1000,27589.39,False,2016,2,1,Pensiones
2016-02-02,9,1000,27468.68,False,2016,2,1,Pensiones
2016-02-03,9,1000,27497.86,False,2016,2,1,Pensiones
2016-02-04,9,1000,27429.32,False,2016,2,1,Pensiones
2016-02-05,9,1000,27385.74,False,2016,2,1,Pensiones
2016-02-06,9,1000,27389.61,False,2016,2,1,Pensiones
2016-02-07,9,1000,27393.38,False,2016,2,1,Pensiones
2016-02-08,9,1000,27305.09,False,2016,2,1,Pensiones
2016-02-09,9,1000,27258.82,False,2016,2,1,Pensiones
2016-02-10,9,1000,27216.57,False,2016,2,1,Pensiones
2016-02-11,9,1000,27079.48,False,2016,2,1,Pensiones
2016-02-12,9,1000,27224.77,False,2016,2,1,Pensiones
2016-02-13,9,1000,27229.05,False,2016,2,1,Pensiones
2016-02-14,9,1000,27233.16,False,2016,2,1,Pensiones
2016-02-15,9,1000,27256.67,False,2016,2,1,Pensiones
2016-02-16,9,1000,27356.77,False,2016,2,1,Pensiones
2016-02-17,9,1000,27572.35,False,2016,2,1,Pensiones
2016-02-18,9,1000,27525.68,False,2016,2,1,Pensiones
2016-02-19,9,1000,27537.39,False,2016,2,1,Pensiones
2016-02-20,9,1000,27542.49,False,2016,2,1,Pensiones
2016-02-21,9,1000,27547.69,False,2016,2,1,Pensiones
2016-02-22,9,1000,27613.95,False,2016,2,1,Pensiones
2016-02-23,9,1000,27524.87,False,2016,2,1,Pensiones
2016-02-24,9,1000,27530.71,False,2016,2,1,Pensiones
2016-02-25,9,1000,27634.92,False,2016,2,1,Pensiones
2016-02-26,9,1000,27652.44,False,2016,2,1,Pensiones
2016-02-27,9,1000,27657.73,False,2016,2,1,Pensiones
2016-02-28,9,1000,27662.75,False,2016,2,1,Pensiones
2016-02-29,9,1000,27637.13,False,2016,2,1,Pensiones
2016-03-01,9,1000,27824.07,False,2016,3,1,Pensiones
2016-03-02,9,1000,27908.83,False,2016,3,1,Pensiones
2016-03-03,9,1000,28059.89,False,2016,3,1,Pensiones
2016-03-04,9,1000,28083.08,False,2016,3,1,Pensiones
2016-03-05,9,1000,28088.59,False,2016,3,1,Pensiones
2016-03-06,9,1000,28093.51,False,2016,3,1,Pensiones
2016-03-07,9,1000,28137.49,False,2016,3,1,Pensiones
2016-03-08,9,1000,28038.93,False,2016,3,1,Pensiones
2016-03-09,9,1000,28154.62,False,2016,3,1,Pensiones
2016-03-10,9,1000,28239.86,False,2016,3,1,Pensiones
2016-03-11,9,1000,28393.13,False,2016,3,1,Pensiones
2016-03-12,9,1000,28398.15,False,2016,3,1,Pensiones
2016-03-13,9,1000,28403.08,False,2016,3,1,Pensiones
2016-03-14,9,1000,28376.63,False,2016,3,1,Pensiones
2016-03-15,9,1000,28256.25,False,2016,3,1,Pensiones
2016-03-16,9,1000,28316.5,False,2016,3,1,Pensiones
2016-03-17,9,1000,28374.31,False,2016,3,1,Pensiones
2016-03-18,9,1000,28470.78,False,2016,3,1,Pensiones
2016-03-19,9,1000,28475.67,False,2016,3,1,Pensiones
2016-03-20,9,1000,28480.53,False,2016,3,1,Pensiones
2016-03-21,9,1000,28485.41,False,2016,3,1,Pensiones
2016-03-22,9,1000,28455.18,False,2016,3,1,Pensiones
2016-03-23,9,1000,28426.39,False,2016,3,1,Pensiones
2016-03-24,9,1000,28431.14,False,2016,3,1,Pensiones
2016-03-25,9,1000,28435.85,False,2016,3,1,Pensiones
2016-03-26,9,1000,28440.85,False,2016,3,1,Pensiones
2016-03-27,9,1000,28445.44,False,2016,3,1,Pensiones
2016-03-28,9,1000,28351.81,False,2016,3,1,Pensiones
2016-03-29,9,1000,28380.41,False,2016,3,1,Pensiones
2016-03-30,9,1000,28484.76,False,2016,3,1,Pensiones
2016-03-31,9,1000,28503.15,False,2016,3,1,Pensiones
2016-04-01,9,1000,28540.91,False,2016,4,2,Pensiones
2016-04-02,9,1000,28545.59,False,2016,4,2,Pensiones
2016-04-03,9,1000,28550.08,False,2016,4,2,Pensiones
2016-04-04,9,1000,28620.02,False,2016,4,2,Pensiones
2016-04-05,9,1000,28480.05,False,2016,4,2,Pensiones
2016-04-06,9,1000,28584.43,False,2016,4,2,Pensiones
2016-04-07,9,1000,28486.51,False,2016,4,2,Pensiones
2016-04-08,9,1000,28543.21,False,2016,4,2,Pensiones
2016-04-09,9,1000,28548.02,False,2016,4,2,Pensiones
